sample temp (C),resistivity (mOhm*cm),Hall Coefficient (cm^3/C),Carrier Concentration (10^18 cm^-3),Mobility (cm^2/Vs)
34,2.107582,0.092786,67.359588,44.019261
34,2.107776,0.094906,65.854937,45.028479
34,2.107703,0.09245,67.60428,43.862054
34,2.107562,0.095038,65.762949,45.092459
34,2.107461,0.092517,67.55522,43.898657
34,2.107587,0.092594,67.498829,43.935064
34,2.107702,0.094113,66.409831,44.652959
34.05,2.108006,0.094728,65.978199,44.940615
34,2.108343,0.095246,65.619691,45.179279
34,2.108169,0.092687,67.431348,43.963767
34,2.108308,0.092281,67.727979,43.77158
33.95,2.108714,0.093072,67.152162,44.141207
34,2.108513,0.091539,68.276581,43.412149
34.1,2.108765,0.093467,66.868328,44.325876
34,2.108707,0.093007,67.198971,44.105744
33.95,2.108672,0.093748,66.667769,44.458152
33.95,2.109251,0.094671,66.018032,44.889915
33.95,2.109228,0.094077,66.434747,44.602464
33.9,2.109488,0.09317,67.081787,44.169763
33.9,2.109718,0.094001,66.488982,44.558397
33.9,2.109016,0.092084,67.872913,43.654741
33.95,2.109493,0.095274,65.600194,45.169567
33.95,2.109376,0.093793,66.635882,44.46372
33.9,2.109462,0.094236,66.322817,44.67393
33.95,2.109551,0.095322,65.567315,45.186812
33.9,2.108969,0.09783,63.886216,46.381277
33.9,2.109016,0.097483,64.113649,46.222607
33.9,2.109221,0.098123,63.695299,46.523415
33.9,2.108754,0.097262,64.259172,46.118046
33.9,2.109238,0.095264,65.60706,45.170375
33.9,2.109691,0.094532,66.114861,44.813479
33.9,2.110185,0.09349,66.851749,44.309573
33.9,2.109157,0.096214,64.959373,45.606163
33.9,2.10977,0.09519,65.658262,45.125146
33.9,2.109678,0.095843,65.211086,45.428969
33.9,2.109837,0.095389,65.521112,45.213302
33.9,2.110399,0.096367,64.856057,45.669131
33.9,2.109615,0.098682,63.334559,46.768702
33.95,2.109864,0.095541,65.416686,45.285864
33.95,2.110033,0.098043,63.7473,46.46719
33.9,2.111021,0.097954,63.805501,46.412079
33.9,2.111992,0.094144,66.387894,44.586025
33.9,2.113554,0.094065,66.443748,44.521833
34,2.112849,0.097486,64.112045,46.131698
33.95,2.112228,0.094718,65.985154,44.836241
33.95,2.113524,0.099692,62.693284,47.182939
33.95,2.113384,0.098316,63.570686,46.518995
34,2.115389,0.09401,66.482374,44.462016
34,2.115128,0.101384,61.64692,47.92975
34,2.115036,0.098035,63.752592,46.350557
34,2.114527,0.096565,64.723428,45.661802
34,2.115132,0.098179,63.65893,46.424297
34,2.114143,0.097486,64.111535,46.100744
34,2.117114,0.097723,63.956211,46.191061
34,2.115725,0.090628,68.963541,42.821187
34,2.115432,0.098391,63.522312,46.507665
34,2.11641,0.097055,64.396451,45.868935
34,2.116985,0.093538,66.817479,44.190731
34,2.117212,0.09908,63.08031,46.799926
34,2.117297,0.092577,67.511298,43.725068
34,2.119434,0.105078,59.479844,49.603151
34,2.119589,0.085415,73.172473,40.299204
34,2.117379,0.084547,73.923412,39.909176
34,2.120134,0.085547,73.058986,40.376186
34,2.112266,0.090517,69.047789,42.773374
34,2.115092,0.082284,75.95674,38.929125
34,2.113832,0.101867,61.354683,48.176191
33.95,2.113084,0.091649,68.194593,43.364715
33.9,2.116048,0.091049,68.644636,43.05783
34.05,2.11142,0.089146,70.109324,42.174881
34,2.110043,0.089106,70.141311,42.215614
34,2.120575,0.090052,69.404182,42.571654
34,2.113905,0.088009,71.015489,41.567781
34.05,2.110235,0.091947,67.973986,43.534041
34,2.110486,0.091378,68.397429,43.299568
34.05,2.111946,0.091943,67.976993,43.549716
34.05,2.113657,0.094615,66.057129,44.781809
34.05,2.11113,0.094743,65.96762,44.851237
34.05,2.108777,0.093743,66.671469,44.429057
34,2.115688,0.09072,68.893523,42.949676
34,2.111134,0.094115,66.408464,44.53205
34,2.118418,0.08175,76.452278,38.656741
34,2.116049,0.072671,86.003881,34.323631
34.05,2.117343,0.100999,61.881993,47.715253
34,2.114327,0.102766,60.817507,48.570169
34.05,2.110113,0.090865,68.783569,43.018595
34.05,2.109912,0.092405,67.637364,43.793368
34.1,2.11001,0.09235,67.677497,43.768465
34.1,2.112345,0.094986,65.798901,44.992141
34.05,2.114628,0.09425,66.313159,44.594457
34.05,2.119201,0.087625,71.326925,41.392654
34.05,2.118753,0.094272,66.297242,44.489586
34.1,2.112531,0.09088,68.772093,42.956176
34.1,2.112346,0.093442,66.886336,44.234238
34.05,2.114881,0.095079,65.735132,44.983881
34.1,2.112983,0.09395,66.524475,44.443432
34.1,2.119222,0.10056,62.1517,47.52152
34.1,2.120957,0.089933,69.496346,42.419331
34.1,2.118689,0.091685,68.167989,43.251376
34,2.119631,0.091104,68.602621,42.990808
34.1,2.114203,0.083281,75.046845,39.340857
34.05,2.112353,0.118281,52.840389,55.970275
34,2.109912,0.093503,66.843066,44.290252
33.95,2.108987,0.090443,69.10465,42.874949
34.05,2.109299,0.092684,67.433314,43.943993
34.05,2.110199,0.093796,66.633621,44.458597
34,2.111005,0.09286,67.305444,43.997042
34,2.114218,0.090821,68.816345,42.990135
33.95,2.117133,0.092086,67.871694,43.525353
34.1,2.108668,0.090909,68.749845,43.025836
34,2.108066,0.092934,67.252162,44.078581
34,2.107937,0.091477,68.323202,43.395122
34,2.107696,0.091157,68.563005,43.247144
34,2.107695,0.090418,69.123707,42.898804
34.05,2.108506,0.090436,69.109632,42.899291
34.05,2.110152,0.089795,69.602818,42.570513
34,2.11091,0.090374,69.156761,42.820688
34,2.112203,0.091389,68.388974,43.280397
34,2.112959,0.095884,65.182926,45.387138
34,2.113563,0.097392,64.173438,46.08627
33.95,2.114679,0.092528,67.547233,43.766578
33.95,2.123536,0.091532,68.282196,43.193612
34.05,2.11012,0.090623,68.966749,42.810937
34,2.114261,0.094199,66.348586,44.59799
34,2.111702,0.094672,66.017559,44.804826
33.95,2.121471,0.092122,67.845088,43.523668
33.95,2.118659,0.095566,65.400133,45.076705
33.95,2.106537,0.091188,68.539738,43.163906
34,2.115325,0.104138,60.016368,49.332865
33.95,2.117597,0.09206,67.890559,43.497106
34,2.119605,0.10149,61.58264,47.904074
34,2.118751,0.090872,68.777726,42.880981
34,2.114548,0.086184,72.51936,40.71712
34,2.110891,0.089165,70.094939,42.203788
34,2.110716,0.087486,71.439805,41.446889
34,2.125259,0.08866,70.493888,41.86058
34,2.121551,0.070861,88.201362,33.371205
34.05,2.111539,0.090247,69.254639,42.638666
34,2.124165,0.089826,69.578775,42.413851
33.95,2.111173,0.086687,72.098413,40.935136
33.9,2.110675,0.09231,67.70661,43.729677
33.9,2.110488,0.092945,67.243885,44.037745
33.9,2.110401,0.093153,67.094244,44.13883
33.9,2.122847,0.090992,68.687154,42.989335
33.95,2.1192,0.091523,68.288482,43.150623
34,2.109794,0.090882,68.770348,42.980533
33.95,2.116189,0.089387,69.920994,42.303349
33.95,2.111606,0.072105,86.679318,34.109913
34,2.114393,0.090247,69.254707,42.710173
34,2.114166,0.102379,61.047692,48.422631
34,2.112024,0.092856,67.30819,43.943339
34,2.115383,0.093386,66.926241,44.181407
34,2.123339,0.086665,72.116775,40.892047
34,2.118455,0.092355,67.673447,43.54539
34,2.114386,0.085053,73.483225,40.187398
34,2.109774,0.087619,71.331787,41.48457
34.1,2.110144,0.095578,65.391659,45.298486
